CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
652873491,32,MANHATTAN,7/1/2017,8:00:00,7/31/2017,23:55:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO MAN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,4/11/2018,,<18,BLACK,F,,<18,BLACK,F,999358,236472,40.81573205,-73.94542041,"(40.815732053, -73.945420411)"
579957608,9,MANHATTAN,7/1/2017,0:01:00,4/10/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO MAN SOUTH,153,RAPE 3,COMMERCIAL BUILDING,4/11/2018,,18-24,UNKNOWN,M,,<18,WHITE HISPANIC,F,987624,203977,40.72655402,-73.98782843,"(40.726554019, -73.987828427)"
913243333,32,MANHATTAN,7/1/2017,0:00:00,4/9/2018,20:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO MAN NORTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,4/10/2018,,,,,,65+,BLACK,F,1001540,239456,40.82391829,-73.93752976,"(40.823918291, -73.937529761)"
214337903,121,STATEN ISLAND,7/1/2017,21:00:00,,,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO STATEN ISLAND,164,SODOMY 3,HOTEL/MOTEL,4/6/2018,,,,,,UNKNOWN,WHITE,F,942428,166536,40.62368882,-74.15065813,"(40.623688822, -74.150658133)"
338824639,77,BROOKLYN,7/1/2017,0:01:00,4/4/2018,16:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,4/4/2018,,,,,,45-64,BLACK,M,1002251,183677,40.67081759,-73.93511009,"(40.67081759, -73.935110087)"
694885938,77,BROOKLYN,7/1/2017,0:01:00,1/31/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,,GRAND LARCENY,,PATROL BORO BKLYN NORTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,4/4/2018,,25-44,BLACK,F,,65+,BLACK,M,999226,184544,40.67320294,-73.94601291,"(40.673202944, -73.946012906)"
904672126,105,QUEENS,7/1/2017,17:00:00,3/28/2018,11:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,FRONT OF,HARRASSMENT 2,,PATROL BORO QUEENS SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,3/28/2018,,25-44,AMER IND,M,,45-64,AMER IND,F,1053314,201957,40.72074067,-73.75084755,"(40.72074067, -73.750847547)"
136799998,104,QUEENS,7/1/2017,12:00:00,7/1/2017,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO QUEENS NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,3/28/2018,,,,,,65+,WHITE,M,1012896,199265,40.71357499,-73.89666994,"(40.713574985, -73.896669937)"
175604499,104,QUEENS,7/1/2017,12:00:00,2/17/2018,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO QUEENS NORTH,177,SEXUAL ABUSE,RESIDENCE-HOUSE,3/21/2018,,25-44,WHITE,M,,<18,UNKNOWN,F,1013764,195875,40.70426739,-73.89355376,"(40.70426739, -73.89355376)"
303093831,32,MANHATTAN,7/1/2017,9:00:00,2/15/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,PATROL BORO MAN NORTH,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,3/20/2018,,UNKNOWN,UNKNOWN,U,,45-64,BLACK,F,1001282,235517,40.81310735,-73.93847195,"(40.813107346, -73.938471954)"
121310847,106,QUEENS,7/1/2017,12:00:00,3/7/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE-HOUSE,3/19/2018,,,,,,45-64,WHITE HISPANIC,F,1028605,187930,40.68239829,-73.84007937,"(40.682398289, -73.840079369)"
