Timestamp,Gender,Select the country you currently live in.,Are you related to IT Profession?,What's your age?,Are you currently enrolled as a student at a degree granting school?,Which highest level of formal education have you attained?,Which best describes your undergraduate major?,Are you currently focused on learning data science skills either formally or informally?,What's your current employment status?,Select the option that's most similar to your current job/professional title (or most recent title if retired),How long have you been learning data science and/or working in the data science field?,How useful did you find these platforms & resources for learning data science skills? [Blogs],How useful did you find these platforms & resources for learning data science skills? [College/University],How useful did you find these platforms & resources for learning data science skills? [Personal Projects],"How useful did you find these platforms & resources for learning data science skills? [Online courses (coursera, udemy, edx, etc.)]",How useful did you find these platforms & resources for learning data science skills? [Friends network],How useful did you find these platforms & resources for learning data science skills? [Company internal community],How useful did you find these platforms & resources for learning data science skills? [YouTube Videos],How useful did you find these platforms & resources for learning data science skills? [Textbook],What programming language would you recommend most to learn first to new data scientist? ,What programming language would you recommend must need to have as data scientist? ,How important do you think the below skills or certifications are in getting a data science job? [Amazon Machine Learning],How important do you think the below skills or certifications are in getting a data science job? [Big Data],How important do you think the below skills or certifications are in getting a data science job? [College Degree],How important do you think the below skills or certifications are in getting a data science job? [Data Visualizations],How important do you think the below skills or certifications are in getting a data science job? [Enterprise Tools],How important do you think the below skills or certifications are in getting a data science job? [Google Cloud],How important do you think the below skills or certifications are in getting a data science job? [Hadoop/Hive/Pig],How important do you think the below skills or certifications are in getting a data science job? [IBM SPSS],How important do you think the below skills or certifications are in getting a data science job? [Java],How important do you think the below skills or certifications are in getting a data science job? [Microsoft Excel],How important do you think the below skills or certifications are in getting a data science job? [NoSQL],How important do you think the below skills or certifications are in getting a data science job? [Oracle Data Mining/ Oracle R Enterprise],How important do you think the below skills or certifications are in getting a data science job? [Python],How important do you think the below skills or certifications are in getting a data science job? [R],How important do you think the below skills or certifications are in getting a data science job? [Relational data],How important do you think the below skills or certifications are in getting a data science job? [SAS],How important do you think the below skills or certifications are in getting a data science job? [SQL],How important do you think the below skills or certifications are in getting a data science job? [Tableau],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Intellectual curiosity],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Business acumen],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Communication skills],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Teamwork],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Collaboration],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Creative Thinking],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Problem Solving],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Active Learning],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Perceptiveness],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Interpersonal Skills],How useful did you find these Non-Technical Skills for data science skills? (0 Not at all useful - 5 most useful) [Generating Hypotheses]
10/17/2018 23:14,Female,India,Yes,22,Yes,Bachelor's degree,Computer Science,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Software Developer/Software Engineer,1 - 2 years,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,SQL,SQL,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,5,4,4,5,5,5,5,5,4,5,5
10/17/2018 23:14,Male,United States,Yes,,No,Master's degree,Finance,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Software Developer/Software Engineer,5 - 10 years,Not Very useful,Somewhat useful,Not Very useful,Very useful,Not Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Java,Java,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,4,4,4,5,5,4,5,3,4,3,3
10/18/2018 1:24,Female,United States,Yes,24,Yes,Bachelor's degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning","Not employed, and not looking for work",,< 1 Year,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Not Very useful,Very useful,Very useful,Very useful,Python,Python,,,,,,Unnecessary,,,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,5,4,2,2,5,4,5,3,5,3,4
10/18/2018 1:25,Female,United States,Yes,27,Yes,Master's degree,Communications,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,1 - 2 years,Somewhat useful,Very useful,Very useful,Somewhat useful,Not Very useful,Not at all useful,Somewhat useful,Somewhat useful,Python,Python,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,5,4,5,4,4,3,4,5,5,4,5
10/18/2018 1:25,Female,Australia,Yes,43,No,Bachelor's degree,Mathematics or statistics,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Business Analyst,3 - 5 years,Very useful,,Somewhat useful,Very useful,Very useful,Very useful,Very useful,,Python,Python,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Necessary,Necessary,5,4,5,4,3,5,5,3,5,5,5
10/18/2018 1:28,Female,United Kingdom,Yes,49,No,Doctoral degree,Computer Science,"Yes, I'm focused on learning mostly data science skills",Employed part-time,Scientist/Researcher,> 10 years,Very useful,Very useful,Very useful,Very useful,Very useful,,Very useful,Somewhat useful,Python,Python,,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,,,Unnecessary,,Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,Unnecessary,Nice to have,Unnecessary,5,4,4,3,5,5,5,4,5,5,4
10/18/2018 1:42,Male,United States,Yes,49,No,Master's degree,Biology,"Yes, I'm focused on learning mostly data science skills","Independent contractor, freelancer, or self-employed",Scientist/Researcher,> 10 years,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,,Java,Java,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Necessary,Necessary,3,4,4,5,5,5,5,5,5,5,5
10/18/2018 2:20,Male,Russia,Yes,34,No,Master's degree,Computer Science,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Machine Learning Engineer,5 - 10 years,,Somewhat useful,Very useful,Very useful,Not Very useful,Very useful,,,Python,Python,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,3,4,5,3,2,5,5,3,5,5,5
10/18/2018 4:01,Male,France,Yes,39,No,Doctoral degree,A health science,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,1 - 2 years,Somewhat useful,,,,Very useful,Somewhat useful,,Very useful,Python,Python,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,4,4,5,4,3,5,5,3,5,3,3
10/18/2018 6:55,Male,United States,Yes,25,Yes,Bachelor's degree,Physics,"Yes, I'm focused on learning mostly data science skills",Employed part-time,Researcher,3 - 5 years,Somewhat useful,Very useful,Very useful,Not at all useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Python,Python,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,4,4,5,4,5,5,5,5,5,4,5
10/18/2018 8:25,Female,United States,Yes,27,Yes,Master's degree,Communications,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Data Scientist,1 - 2 years,Somewhat useful,Very useful,Very useful,Very useful,Not Very useful,Not at all useful,Somewhat useful,Somewhat useful,Python,Python,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,5,4,5,4,4,3,4,5,5,4,5
10/18/2018 9:00,Male,United States,Yes,59,No,Doctoral degree,Mathematics or statistics,"Yes, I'm focused on learning mostly data science skills","Not employed, and not looking for work",,> 10 years,Very useful,Very useful,Very useful,Very useful,Not Very useful,Very useful,Somewhat useful,Somewhat useful,R,R,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Necessary,Nice to have,5,5,5,3,3,5,5,3,5,5,4
10/18/2018 10:54,Male,United States,Yes,27,Yes,Doctoral degree,Mathematics or statistics,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Scientist/Researcher,5 - 10 years,Somewhat useful,Somewhat useful,,Somewhat useful,Not Very useful,Somewhat useful,,Very useful,Python,R,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,,Unnecessary,Nice to have,Necessary,Unnecessary,Nice to have,Necessary,Necessary,5,5,4,5,5,5,5,4,5,3,5
10/18/2018 10:55,Male,United States,Yes,35,No,Doctoral degree,Physics,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Engineer,3 - 5 years,,,Somewhat useful,,Not Very useful,Very useful,,Somewhat useful,Python,Python,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,5,5,5,3,5,5,5,5,5,5,5
10/18/2018 11:08,Female,United States,Yes,23,Yes,Bachelor's degree,"Information Technology, Networking, or System Administration","Yes, I'm focused on learning mostly data science skills","Not employed, but looking for work",,1 - 2 years,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,,Very useful,Very useful,Very useful,SQL,SQL,,,,,,Unnecessary,,,Nice to have,,,,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,4,5,3,4,3,,3,4,5,3,3
10/18/2018 13:00,Male,United States,Yes,32,Yes,Master's degree,Mathematics or statistics,"Yes, I'm focused on learning mostly data science skills",Employed full-time,Researcher,5 - 10 years,,Not Very useful,Very useful,,Not Very useful,Not at all useful,,Very useful,R,R,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,,,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,5,4,5,4,3,4,4,4,3,3,
10/18/2018 13:28,Male,India,Yes,31,Yes,Doctoral degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning",Employed part-time,Scientist/Researcher,1 - 2 years,Very useful,,,Not Very useful,Somewhat useful,Not at all useful,Not at all useful,Somewhat useful,Python,Python,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,Nice to have,3,4,5,3,3,,3,4,5,3,3
10/18/2018 13:28,Male,United States,Yes,63,No,Master's degree,Electrical Engineering,"No, I am not focused on learning data science skills",Employed full-time,Other,3 - 5 years,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,,,Somewhat useful,R,Python,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Necessary,Nice to have,5,4,5,3,5,5,5,5,5,4,3
10/18/2018 14:13,Male,United Kingdom,Yes,41,No,Doctoral degree,Electrical Engineering,"Yes, I'm focused on learning mostly data science skills","Independent contractor, freelancer, or self-employed",Engineer,> 10 years,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Not Very useful,Somewhat useful,Somewhat useful,Very useful,Python,Python,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Unnecessary,,Necessary,Necessary,Nice to have,Nice to have,Necessary,Nice to have,5,5,5,3,3,4,5,3,5,5,5
10/18/2018 15:21,Male,United States,Yes,31,No,Master's degree,Engineering (non-computer focused),"Yes, I'm focused on learning mostly data science skills",Employed full-time,Software Developer/Software Engineer,3 - 5 years,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Matlab,Matlab,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,5,5,5,3,4,4,4,5,5,5,5
10/18/2018 17:02,Female,Canada,Yes,30,Yes,Master's degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning",Employed full-time,Other,< 1 Year,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Python,Python,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Necessary,4,3,3,5,5,4,2,2,,,5
10/18/2018 19:21,Male,India,Yes,24,Yes,Bachelor's degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning",Employed full-time,Data Analyst,3 - 5 years,Very useful,,Very useful,Not Very useful,Very useful,Not Very useful,Somewhat useful,,Python,Python,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,Necessary,Nice to have,Unnecessary,Necessary,Necessary,5,5,5,5,5,4,5,4,3,4,2
10/18/2018 19:21,Female,United States,Yes,22,Yes,Bachelor's degree,Mathematics or statistics,"Yes, but data science is a small part of what I'm focused on learning","Not employed, but looking for work",,1 - 2 years,Somewhat useful,Very useful,Somewhat useful,Very useful,Not Very useful,Somewhat useful,Somewhat useful,Somewhat useful,R,R,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,4,4,5,3,4,4,4,3,5,5,4
10/18/2018 19:34,Male,United States,Yes,43,No,Doctoral degree,Computer Science,"Yes, but data science is a small part of what I'm focused on learning",Retired,Software Developer/Software Engineer,> 10 years,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,Very useful,Somewhat useful,Somewhat useful,Python,R,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,5,4,5,4,3,4,4,5,4,4,3
10/18/2018 20:18,Male,Germany,Yes,44,No,Master's degree,A humanities discipline,"No, I am not focused on learning data science skills",Employed full-time,Other,3 - 5 years,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Python,R,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Unnecessary,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Nice to have,Nice to have,5,3,5,5,3,4,5,4,5,4,3
10/18/2018 23:47,Male,United States,Yes,33,No,Doctoral degree,Electrical Engineering,"Yes, but data science is a small part of what I'm focused on learning",Employed full-time,Operations Research Practitioner,5 - 10 years,,Somewhat useful,Very useful,Very useful,Very useful,Not Very useful,,Somewhat useful,SAS,SAS,,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,,,Unnecessary,Nice to have,Unnecessary,,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,5,5,4,3,4,4,5,3,5,4,5
10/19/2018 0:25,Male,United States,Yes,40,No,Doctoral degree,Physics,"No, I am not focused on learning data science skills",Employed full-time,Scientist/Researcher,> 10 years,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,,Python,R,,,,,,Unnecessary,,,Nice to have,,Nice to have,Necessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Unnecessary,4,3,4,,3,5,5,3,5,5,4
